Keyperson,keyinstn,longname,persontext,tokenized_sentences,sentences_with_longname,sentences_without_longname,total_sentences_containing,total_occurences
1001562340,102971,Metropolitan Realty Corporation,"Samuel H. Thomas Jr. has been Vice Chairman of Metropolitan Realty Corp. since August 1989 and Director since 1988 and serves as Member of the Loan Committee, Mr. Thomas,s Principal Occupations : Vice President of Phoenix Management since 1994, and owner of Burlington Investments, Inc. (real estate management and development companies, respectively). President of Thomas & Mancinelli Pizza, Inc., from 1987 to 1994. Also serves as a Trustee of the Detroit Institute of Arts.","['Samuel H. Thomas Jr. has been Vice Chairman of Metropolitan Realty Corp. since August 1989 and Director since 1988 and serves as Member of the Loan Committee, Mr. Thomas,s Principal Occupations : Vice President of Phoenix Management since 1994, and owner of Burlington Investments, Inc. (real estate management and development companies, respectively).', 'President of Thomas & Mancinelli Pizza, Inc., from 1987 to 1994.', 'Also serves as a Trustee of the Detroit Institute of Arts.']","Samuel H. Thomas Jr. has been Vice Chairman of Metropolitan Realty Corp. since August 1989 and Director since 1988 and serves as Member of the Loan Committee, Mr. Thomas,s Principal Occupations : Vice President of Phoenix Management since 1994, and owner of Burlington Investments, Inc. (real estate management and development companies, respectively).","President of Thomas & Mancinelli Pizza, Inc., from 1987 to 1994. Also serves as a Trustee of the Detroit Institute of Arts.",1,1
145152,100205,"Colonial BancGroup, Inc.","Ms. Sandra W. Jansky served as the Chief Commercial Credit Risk Officer and Executive Vice President at BB&T Corporation since October 2011. Ms. Jansky served as the Chief Credit Officer, Chief Risk Officer and Senior Executive Vice President of Colonial Bancgroup Inc. since December 17, 2008. She served as the Chief Credit Officer of Colonial Bank, a subsidiary of Colonial Bancgroup Inc. since April 2002 and its Chief Risk Officer and Senior Executive Vice President since December 17, 2008. She was responsible for oversight of all credit administration, special asset and loan operations functions. She has over 35 years commercial banking experience including corporate and investment banking, commercial real estate lending, loan review and credit risk management. Ms. Jansky joined SunTrust Banks, Inc., in 1981 and held numerous positions including loan Review Manager, Director Of Compliance and CRA, Director Of Corporate Banking and served as a Senior Risk Officer. She relocated to Atlanta, Ga., in 1998 to assume responsibility as Senior Vice President and Managing Director in the newly created Corporate and Investment Banking Division of SunTrust Inc., and was appointed to Chief Credit Officer in 2002. Since departing SunTrust in 2004, Ms. Jansky assisted in the formation of a new community bank in Central Florida. Ms. Jansky served as President and Chief Operating Officer of Old Southern Bank since April 2006. She began her banking career with First Union National Bank (Wachovia/Wells Fargo) in 1967 in Charlotte, N.C. She has been active with the Risk Management Association of Philadelphia since 1975, the banking industry's preeminent forum for credit issues, on September 1, 2002. She has been very active in community initiatives in the Central Florida market that included serving as an original founder and chairman of Central Florida Community Reinvestment Corporation (affordable housing); chairman and mentor for Compact, a program for at-risk students; and she served diligently for the Foundation for Orange County Public Schools as well as numerous other civic organizations.","['Ms. Sandra W. Jansky served as the Chief Commercial Credit Risk Officer and Executive Vice President at BB&T Corporation since October 2011.', 'Ms. Jansky served as the Chief Credit Officer, Chief Risk Officer and Senior Executive Vice President of Colonial Bancgroup Inc. since December 17, 2008.', 'She served as the Chief Credit Officer of Colonial Bank, a subsidiary of Colonial Bancgroup Inc. since April 2002 and its Chief Risk Officer and Senior Executive Vice President since December 17, 2008.', 'She was responsible for oversight of all credit administration, special asset and loan operations functions.', 'She has over 35 years commercial banking experience including corporate and investment banking, commercial real estate lending, loan review and credit risk management.', 'Ms. Jansky joined SunTrust Banks, Inc., in 1981 and held numerous positions including loan Review Manager, Director Of Compliance and CRA, Director Of Corporate Banking and served as a Senior Risk Officer.', 'She relocated to Atlanta, Ga., in 1998 to assume responsibility as Senior Vice President and Managing Director in the newly created Corporate and Investment Banking Division of SunTrust Inc., and was appointed to Chief Credit Officer in 2002.', 'Since departing SunTrust in 2004, Ms. Jansky assisted in the formation of a new community bank in Central Florida.', 'Ms. Jansky served as President and Chief Operating Officer of Old Southern Bank since April 2006.', 'She began her banking career with First Union National Bank (Wachovia/Wells Fargo) in 1967 in Charlotte, N.C.', ""She has been active with the Risk Management Association of Philadelphia since 1975, the banking industry's preeminent forum for credit issues, on September 1, 2002."", 'She has been very active in community initiatives in the Central Florida market that included serving as an original founder and chairman of Central Florida Community Reinvestment Corporation (affordable housing); chairman and mentor for Compact, a program for at-risk students; and she served diligently for the Foundation for Orange County Public Schools as well as numerous other civic organizations.']","Ms. Jansky served as the Chief Credit Officer, Chief Risk Officer and Senior Executive Vice President of Colonial Bancgroup Inc. since December 17, 2008. She served as the Chief Credit Officer of Colonial Bank, a subsidiary of Colonial Bancgroup Inc. since April 2002 and its Chief Risk Officer and Senior Executive Vice President since December 17, 2008.","Ms. Sandra W. Jansky served as the Chief Commercial Credit Risk Officer and Executive Vice President at BB&T Corporation since October 2011. She was responsible for oversight of all credit administration, special asset and loan operations functions. She has over 35 years commercial banking experience including corporate and investment banking, commercial real estate lending, loan review and credit risk management. Ms. Jansky joined SunTrust Banks, Inc., in 1981 and held numerous positions including loan Review Manager, Director Of Compliance and CRA, Director Of Corporate Banking and served as a Senior Risk Officer. She relocated to Atlanta, Ga., in 1998 to assume responsibility as Senior Vice President and Managing Director in the newly created Corporate and Investment Banking Division of SunTrust Inc., and was appointed to Chief Credit Officer in 2002. Since departing SunTrust in 2004, Ms. Jansky assisted in the formation of a new community bank in Central Florida. Ms. Jansky served as President and Chief Operating Officer of Old Southern Bank since April 2006. She began her banking career with First Union National Bank (Wachovia/Wells Fargo) in 1967 in Charlotte, N.C. She has been active with the Risk Management Association of Philadelphia since 1975, the banking industry's preeminent forum for credit issues, on September 1, 2002. She has been very active in community initiatives in the Central Florida market that included serving as an original founder and chairman of Central Florida Community Reinvestment Corporation (affordable housing); chairman and mentor for Compact, a program for at-risk students; and she served diligently for the Foundation for Orange County Public Schools as well as numerous other civic organizations.",2,2
144105,100205,"Colonial BancGroup, Inc.","Mrs. Barbara P. Atchley served as Vice President and Corporate Director Human Resources at Hancock Whitney Corporation (formerly, Hancock Holding Company) since June 1997. Prior to Mrs. Atchley's employment with Hancock, she served as Director of Human Resources for Provident Life and Accident, Chattanooga, Tenneessee from 1994 to 1997.","['Mrs. Barbara P. Atchley served as Vice President and Corporate Director Human Resources at Hancock Whitney Corporation (formerly, Hancock Holding Company) since June 1997.', ""Prior to Mrs. Atchley's employment with Hancock, she served as Director of Human Resources for Provident Life and Accident, Chattanooga, Tenneessee from 1994 to 1997.""]",,"Mrs. Barbara P. Atchley served as Vice President and Corporate Director Human Resources at Hancock Whitney Corporation (formerly, Hancock Holding Company) since June 1997. Prior to Mrs. Atchley's employment with Hancock, she served as Director of Human Resources for Provident Life and Accident, Chattanooga, Tenneessee from 1994 to 1997.",0,0
255112,102971,Metropolitan Realty Corporation,"Mr. Robert H. Naftaly, CPA served as the President and Chief Executive Officer at PPOM. Mr. Naftaly served as an Executive Vice President and Chief Operating Officer of Blue Cross Blue Shield of Michigan. He also served as a Senior Officer at Blue Cross Blue Shield of Michigan and various subsidiaries from 1988 to 2001. Mr. Naftaly served as the Chief Financial Officer and Treasurer at Blue Cross and Blue Shield of Michigan, since 1988. He was a Vice President and General Auditor at Detroit Edison Company from July 1987 to 1988 and also served as the Director of the Department of Management and Budget for the State of Michigan from 1983 to July 1987. Mr. Naftaly is a Founder of Geller, Naftaly, Herbach & Shapiro and served as its Managing Partner from 1960 to October 1983. He served as the Chairman of the Board of Meadowbrook Insurance Group, Inc. from July 25, 2014 to July 2015 and served as its Director from February 2002 to July 2015. Mr. Naftaly has been a Non-Executive Director of Talmer Bank since April 2010 and Talmer Bancorp, Inc. since April 2010. He serves as a Director of Aaa Michigan and First Michiganbank and has been a Director of Metropolitan Realty Company, L.L.C. since 1989. Mr. Naftaly served as a Director of Sun Communities Inc. from October 16, 2006 to July 22, 2014 and Lason, Inc. (now HOV Services, Inc.) since June 2002. He served as a Director of The PrivateBank at PrivateBancorp, Inc. and CareFirst, Inc. Mr. Naftaly also serves on numerous national and community associations. He serves as a Director of Walsh College. Mr. Naftaly is a Certified Public Accountant. He earned his Undergraduate Degree in Accounting from Walsh College in 1959.","['Mr. Robert H. Naftaly, CPA served as the President and Chief Executive Officer at PPOM.', 'Mr. Naftaly served as an Executive Vice President and Chief Operating Officer of Blue Cross Blue Shield of Michigan.', 'He also served as a Senior Officer at Blue Cross Blue Shield of Michigan and various subsidiaries from 1988 to 2001.', 'Mr. Naftaly served as the Chief Financial Officer and Treasurer at Blue Cross and Blue Shield of Michigan, since 1988.', 'He was a Vice President and General Auditor at Detroit Edison Company from July 1987 to 1988 and also served as the Director of the Department of Management and Budget for the State of Michigan from 1983 to July 1987.', 'Mr. Naftaly is a Founder of Geller, Naftaly, Herbach & Shapiro and served as its Managing Partner from 1960 to October 1983.', 'He served as the Chairman of the Board of Meadowbrook Insurance Group, Inc. from July 25, 2014 to July 2015 and served as its Director from February 2002 to July 2015.', 'Mr. Naftaly has been a Non-Executive Director of Talmer Bank since April 2010 and Talmer Bancorp, Inc. since April 2010.', 'He serves as a Director of Aaa Michigan and First Michiganbank and has been a Director of Metropolitan Realty Company, L.L.C. since 1989.', 'Mr. Naftaly served as a Director of Sun Communities Inc. from October 16, 2006 to July 22, 2014 and Lason, Inc. (now HOV Services, Inc.) since June 2002.', 'He served as a Director of The PrivateBank at PrivateBancorp, Inc. and CareFirst, Inc.', 'Mr. Naftaly also serves on numerous national and community associations.', 'He serves as a Director of Walsh College.', 'Mr. Naftaly is a Certified Public Accountant.', 'He earned his Undergraduate Degree in Accounting from Walsh College in 1959.']",,"Mr. Robert H. Naftaly, CPA served as the President and Chief Executive Officer at PPOM. Mr. Naftaly served as an Executive Vice President and Chief Operating Officer of Blue Cross Blue Shield of Michigan. He also served as a Senior Officer at Blue Cross Blue Shield of Michigan and various subsidiaries from 1988 to 2001. Mr. Naftaly served as the Chief Financial Officer and Treasurer at Blue Cross and Blue Shield of Michigan, since 1988. He was a Vice President and General Auditor at Detroit Edison Company from July 1987 to 1988 and also served as the Director of the Department of Management and Budget for the State of Michigan from 1983 to July 1987. Mr. Naftaly is a Founder of Geller, Naftaly, Herbach & Shapiro and served as its Managing Partner from 1960 to October 1983. He served as the Chairman of the Board of Meadowbrook Insurance Group, Inc. from July 25, 2014 to July 2015 and served as its Director from February 2002 to July 2015. Mr. Naftaly has been a Non-Executive Director of Talmer Bank since April 2010 and Talmer Bancorp, Inc. since April 2010. He serves as a Director of Aaa Michigan and First Michiganbank and has been a Director of Metropolitan Realty Company, L.L.C. since 1989. Mr. Naftaly served as a Director of Sun Communities Inc. from October 16, 2006 to July 22, 2014 and Lason, Inc. (now HOV Services, Inc.) since June 2002. He served as a Director of The PrivateBank at PrivateBancorp, Inc. and CareFirst, Inc. Mr. Naftaly also serves on numerous national and community associations. He serves as a Director of Walsh College. Mr. Naftaly is a Certified Public Accountant. He earned his Undergraduate Degree in Accounting from Walsh College in 1959.",0,0
179112,102971,Metropolitan Realty Corporation,"Marc Stepp has been Director of Metropolitan Realty Corp. since 1987 and serves as Member of the Executive Committee, Loan Committee, Fee and Compensation Committees. Mr. Stepp's Principal Occupations : Executive Director, Institute for Urban and Community Affairs, University of Detroit Mercy. Previously served as Vice President of the International United Auto Workers (`UAW') since 1974. Served as Director of the UAW's Chrysler Department, General Dynamics Department, Foundry Department and Job Development and Training Department.","['Marc Stepp has been Director of Metropolitan Realty Corp. since 1987 and serves as Member of the Executive Committee, Loan Committee, Fee and Compensation Committees.', ""Mr. Stepp's Principal Occupations : Executive Director, Institute for Urban and Community Affairs, University of Detroit Mercy."", ""Previously served as Vice President of the International United Auto Workers (`UAW') since 1974."", ""Served as Director of the UAW's Chrysler Department, General Dynamics Department, Foundry Department and Job Development and Training Department.""]","Marc Stepp has been Director of Metropolitan Realty Corp. since 1987 and serves as Member of the Executive Committee, Loan Committee, Fee and Compensation Committees.","Mr. Stepp's Principal Occupations : Executive Director, Institute for Urban and Community Affairs, University of Detroit Mercy. Previously served as Vice President of the International United Auto Workers (`UAW') since 1974. Served as Director of the UAW's Chrysler Department, General Dynamics Department, Foundry Department and Job Development and Training Department.",1,1
211130,102971,Metropolitan Realty Corporation,"Mr. Wayne S. Doran served as a Vice President of Ford Motor Company until 2000. Mr. Doran joined Ford Motor Company in 1969 and became Chief Executive of Ford Land when it was formed in 1970. Before joining Ford Motor Company, he served as Vice President and General Manager of the land development division of Del E. Webb Corporation, Chicago, from 1963 to 1969. Mr. Doran has been a Director of Metropolitan Realty Corp. and Metropolitan Realty Company, L.L.C. since 1988. He served as a Trustee of Glimcher Realty Trust since October 1999 until May 7, 2014 and also has been Lead Trustee since May 6, 2005 until May 7, 2014. He serves as Director of Henry Ford Health System. He serves as a Director of the Arizona State University Foundation and the Arizona State University Research Park, The Drachman Institute and the PGA TOUR Golf Course Properties. He is a member of the board of governors of Berry College, Rome, Georgia and sits on the executive board of the Detroit Area Council of the Boy Scouts of America. Mr. Doran serves as a Trustee of Urban Land Institute and Arizona State University-Tempe, Chairman of the Detroit Metropolitan Wayne County Airport Commission. He served as Chairman of the Board of Ford Motor Land Services Corporation.","['Mr. Wayne S. Doran served as a Vice President of Ford Motor Company until 2000.', 'Mr. Doran joined Ford Motor Company in 1969 and became Chief Executive of Ford Land when it was formed in 1970.', 'Before joining Ford Motor Company, he served as Vice President and General Manager of the land development division of Del E. Webb Corporation, Chicago, from 1963 to 1969.', 'Mr. Doran has been a Director of Metropolitan Realty Corp. and Metropolitan Realty Company, L.L.C. since 1988.', 'He served as a Trustee of Glimcher Realty Trust since October 1999 until May 7, 2014 and also has been Lead Trustee since May 6, 2005 until May 7, 2014.', 'He serves as Director of Henry Ford Health System.', 'He serves as a Director of the Arizona State University Foundation and the Arizona State University Research Park, The Drachman Institute and the PGA TOUR Golf Course Properties.', 'He is a member of the board of governors of Berry College, Rome, Georgia and sits on the executive board of the Detroit Area Council of the Boy Scouts of America.', 'Mr. Doran serves as a Trustee of Urban Land Institute and Arizona State University-Tempe, Chairman of the Detroit Metropolitan Wayne County Airport Commission.', 'He served as Chairman of the Board of Ford Motor Land Services Corporation.']","Mr. Doran has been a Director of Metropolitan Realty Corp. and Metropolitan Realty Company, L.L.C. since 1988.","Mr. Wayne S. Doran served as a Vice President of Ford Motor Company until 2000. Mr. Doran joined Ford Motor Company in 1969 and became Chief Executive of Ford Land when it was formed in 1970. Before joining Ford Motor Company, he served as Vice President and General Manager of the land development division of Del E. Webb Corporation, Chicago, from 1963 to 1969. He served as a Trustee of Glimcher Realty Trust since October 1999 until May 7, 2014 and also has been Lead Trustee since May 6, 2005 until May 7, 2014. He serves as Director of Henry Ford Health System. He serves as a Director of the Arizona State University Foundation and the Arizona State University Research Park, The Drachman Institute and the PGA TOUR Golf Course Properties. He is a member of the board of governors of Berry College, Rome, Georgia and sits on the executive board of the Detroit Area Council of the Boy Scouts of America. Mr. Doran serves as a Trustee of Urban Land Institute and Arizona State University-Tempe, Chairman of the Detroit Metropolitan Wayne County Airport Commission. He served as Chairman of the Board of Ford Motor Land Services Corporation.",1,1
129084,102972,MGI Properties,"Mr. Phillip C. Vitali served as the Chief Financial Officer and Vice President of Carpenter & Company, Inc. until January 20, 2017. Mr. Vitali joined Carpenter in 2001. While at Carpenter, Mr. Vitali was responsible for the financing and refinancing of a number of Carpenter’s projects, including the Liberty Hotel and Charles Square and the Charles Hotel. Prior to joining Carpenter, Mr. Vitali served as Executive Vice President, Chief Financial Officer and Treasurer at MGI Properties, a New York Stock Exchange real estate investment trust. At MGI, Mr. Vitali held responsibility for financial and treasury management, property management, information technology, human resources and investor relations. During his 20 years at MGI, Mr. Vitali was extensively involved in complex debt and equity financings, as well as numerous property acquisitions and dispositions. Mr. Vitali received a M.B.A. degree from Yale University, a M.A. degree from the University of Chicago and a B.A. degree from Boston College.","['Mr. Phillip C. Vitali served as the Chief Financial Officer and Vice President of Carpenter & Company, Inc. until January 20, 2017.', 'Mr. Vitali joined Carpenter in 2001.', 'While at Carpenter, Mr. Vitali was responsible for the financing and refinancing of a number of Carpenter’s projects, including the Liberty Hotel and Charles Square and the Charles Hotel.', 'Prior to joining Carpenter, Mr. Vitali served as Executive Vice President, Chief Financial Officer and Treasurer at MGI Properties, a New York Stock Exchange real estate investment trust.', 'At MGI, Mr. Vitali held responsibility for financial and treasury management, property management, information technology, human resources and investor relations.', 'During his 20 years at MGI, Mr. Vitali was extensively involved in complex debt and equity financings, as well as numerous property acquisitions and dispositions.', 'Mr. Vitali received a M.B.A. degree from Yale University, a M.A. degree from the University of Chicago and a B.A. degree from Boston College.']","Prior to joining Carpenter, Mr. Vitali served as Executive Vice President, Chief Financial Officer and Treasurer at MGI Properties, a New York Stock Exchange real estate investment trust.","Mr. Phillip C. Vitali served as the Chief Financial Officer and Vice President of Carpenter & Company, Inc. until January 20, 2017. Mr. Vitali joined Carpenter in 2001. While at Carpenter, Mr. Vitali was responsible for the financing and refinancing of a number of Carpenter’s projects, including the Liberty Hotel and Charles Square and the Charles Hotel. At MGI, Mr. Vitali held responsibility for financial and treasury management, property management, information technology, human resources and investor relations. During his 20 years at MGI, Mr. Vitali was extensively involved in complex debt and equity financings, as well as numerous property acquisitions and dispositions. Mr. Vitali received a M.B.A. degree from Yale University, a M.A. degree from the University of Chicago and a B.A. degree from Boston College.",1,1
142019,102972,MGI Properties,W. Pearce Coues serves as Senior Advisor of Eaton Vance. Mr. Coues served as Chief Executive Officer of MGI Properties since September 2000. He served as Chief Executive Officer and Chairman of the REIT from 1982 to September 2000. He served as Chairman of MGI Properties. Mr. Coues served as Director of Boston Private Bank & Trust Co. He served as a Trustee of MGI Properties Liquidating Trust since September 2000.,"['W. Pearce Coues serves as Senior Advisor of Eaton Vance.', 'Mr. Coues served as Chief Executive Officer of MGI Properties since September 2000.', 'He served as Chief Executive Officer and Chairman of the REIT from 1982 to September 2000.', 'He served as Chairman of MGI Properties.', 'Mr. Coues served as Director of Boston Private Bank & Trust Co.', 'He served as a Trustee of MGI Properties Liquidating Trust since September 2000.']",Mr. Coues served as Chief Executive Officer of MGI Properties since September 2000. He served as Chairman of MGI Properties. He served as a Trustee of MGI Properties Liquidating Trust since September 2000.,W. Pearce Coues serves as Senior Advisor of Eaton Vance. He served as Chief Executive Officer and Chairman of the REIT from 1982 to September 2000. Mr. Coues served as Director of Boston Private Bank & Trust Co.,3,3
142020,102972,MGI Properties,Mr. Robert Ware was Executive Vice President at MGI Properties.,['Mr. Robert Ware was Executive Vice President at MGI Properties.'],Mr. Robert Ware was Executive Vice President at MGI Properties.,,1,1
142203,102972,MGI Properties,"Mr. Robert M. Melzer was elected to the Board of Directors Cronos Ltd. as an independent director at the 1999 annual meeting. Mr. Melzer served as President and Chief Financial Officer of Property Capital Trust, a publicly-traded real estate investment trust, from 1990 to 1996, and as President and Chief Executive Officer from 1992 until May 1999, when the company completed its plan to dispose of its investments and distributed the proceeds to its shareholders. Since May 1999, Mr. Melzer has devoted his business activities to consulting and to serving as a director or trustee of various business and charitable organizations. In 2001, Mr. Melzer served as interim Chief Executive Officer of Beth Israel Deaconess Medical Center in Boston, Massachusetts. Mr. Melzer currently serves as a director of Genesee & Wyoming, Inc., a short-line and regional railroad holding company (NYSE: GWR). Mr. Melzer holds a B.A. degree in Economics from Cornell University and an M.B.A. from the Harvard Business School.","['Mr. Robert M. Melzer was elected to the Board of Directors Cronos Ltd. as an independent director at the 1999 annual meeting.', 'Mr. Melzer served as President and Chief Financial Officer of Property Capital Trust, a publicly-traded real estate investment trust, from 1990 to 1996, and as President and Chief Executive Officer from 1992 until May 1999, when the company completed its plan to dispose of its investments and distributed the proceeds to its shareholders.', 'Since May 1999, Mr. Melzer has devoted his business activities to consulting and to serving as a director or trustee of various business and charitable organizations.', 'In 2001, Mr. Melzer served as interim Chief Executive Officer of Beth Israel Deaconess Medical Center in Boston, Massachusetts.', 'Mr. Melzer currently serves as a director of Genesee & Wyoming, Inc., a short-line and regional railroad holding company (NYSE: GWR).', 'Mr. Melzer holds a B.A. degree in Economics from Cornell University and an M.B.A. from the Harvard Business School.']",,"Mr. Robert M. Melzer was elected to the Board of Directors Cronos Ltd. as an independent director at the 1999 annual meeting. Mr. Melzer served as President and Chief Financial Officer of Property Capital Trust, a publicly-traded real estate investment trust, from 1990 to 1996, and as President and Chief Executive Officer from 1992 until May 1999, when the company completed its plan to dispose of its investments and distributed the proceeds to its shareholders. Since May 1999, Mr. Melzer has devoted his business activities to consulting and to serving as a director or trustee of various business and charitable organizations. In 2001, Mr. Melzer served as interim Chief Executive Officer of Beth Israel Deaconess Medical Center in Boston, Massachusetts. Mr. Melzer currently serves as a director of Genesee & Wyoming, Inc., a short-line and regional railroad holding company (NYSE: GWR). Mr. Melzer holds a B.A. degree in Economics from Cornell University and an M.B.A. from the Harvard Business School.",0,0
177743,102972,MGI Properties,"Karl W. Weller is a Managing Director of CrossHarbor Capital Partners LLC. He oversees the operations of the equity real estate portfolio and is a member of the investment committee. Prior to joining the company, Mr. Weller was Senior Vice President and Executive Officer of MGI Properties, a Boston-based, publicly-traded NYSE equity real estate investment trust. Under his direction as Head of Acquisitions, the company purchased 56 commercial New England properties totaling 4.8 million square feet. In June 1999, Mr. Weller orchestrated the disposition of 53 of these properties to CrossHarbor. Prior to his position at MGI, Mr. Weller held several increasingly responsible positions in the Real Estate Investment Department of the Aetna Life and Casualty Company based in Hartford, CT. Mr. Weller received his BS, summa cum laude, and his MBA, with highest honors, from the University of Connecticut.","['Karl W. Weller is a Managing Director of CrossHarbor Capital Partners LLC.', 'He oversees the operations of the equity real estate portfolio and is a member of the investment committee.', 'Prior to joining the company, Mr. Weller was Senior Vice President and Executive Officer of MGI Properties, a Boston-based, publicly-traded NYSE equity real estate investment trust.', 'Under his direction as Head of Acquisitions, the company purchased 56 commercial New England properties totaling 4.8 million square feet.', 'In June 1999, Mr. Weller orchestrated the disposition of 53 of these properties to CrossHarbor.', 'Prior to his position at MGI, Mr. Weller held several increasingly responsible positions in the Real Estate Investment Department of the Aetna Life and Casualty Company based in Hartford, CT.', 'Mr. Weller received his BS, summa cum laude, and his MBA, with highest honors, from the University of Connecticut.']","Prior to joining the company, Mr. Weller was Senior Vice President and Executive Officer of MGI Properties, a Boston-based, publicly-traded NYSE equity real estate investment trust.","Karl W. Weller is a Managing Director of CrossHarbor Capital Partners LLC. He oversees the operations of the equity real estate portfolio and is a member of the investment committee. Under his direction as Head of Acquisitions, the company purchased 56 commercial New England properties totaling 4.8 million square feet. In June 1999, Mr. Weller orchestrated the disposition of 53 of these properties to CrossHarbor. Prior to his position at MGI, Mr. Weller held several increasingly responsible positions in the Real Estate Investment Department of the Aetna Life and Casualty Company based in Hartford, CT. Mr. Weller received his BS, summa cum laude, and his MBA, with highest honors, from the University of Connecticut.",1,1
178044,102972,MGI Properties,Mr. George S. Bissell was a Director of MGI Properties.,['Mr. George S. Bissell was a Director of MGI Properties.'],Mr. George S. Bissell was a Director of MGI Properties.,,1,1
179116,102972,MGI Properties,"Mr. William F. Murdoch Jr. was a Director at MGI Properties. Mr. Murdoch was passed away on July 30, 2018.","['Mr. William F. Murdoch Jr. was a Director at MGI Properties.', 'Mr. Murdoch was passed away on July 30, 2018.']",Mr. William F. Murdoch Jr. was a Director at MGI Properties.,"Mr. Murdoch was passed away on July 30, 2018.",1,1
205145,102972,MGI Properties,"Mr. George M. Lovejoy, Jr. has been the President of Fifty Associates since 1994. Mr. Lovejoy served as an Executive Officer of Fifty Associates since 1966. He served as Senior Executive Officer of Meredith & Grew Inc., from 1972 to 1995 and its President from 1978 to 1988 and Chairman from 1988 to March 1995. He served as the President of the New England Aquarium. His professional organization affiliations include the Counselors of Real Estate, the Greater Boston Building Owners & Managers Association and the Greater Boston Real Estate Board, each of which organizations he served as President, the International Council of Shopping Centers, the Massachusetts Association of Realtors, the National Association of Realtors and the Institute of Real Estate Management. He serves as the Trustee of MGI Liquidations Trust. He serves as a Trustee of the New England Aquarium. He has been Trustee Emeritus of Massachusetts Board of Trustees at The Nature Conservancy. He served as a Trustee of MGI Properties (also known as MGI Properties Liquidations Trust) since September 2000 and Cabot Industrial Trust, General Partner of Cabot Industrial Properties LP since March 1999. He served as a Director of Scudder Global High Income Fund. He served as a Director of DWS Global High Income Fund, Inc. from 1992 to July 18, 2001. Mr. Lovejoy is a member of Cabot Industrial of Northeastern University and was Chairman of the Massachusetts Advisory Committee of the Nature Conservancy.","['Mr. George M. Lovejoy, Jr. has been the President of Fifty Associates since 1994.', 'Mr. Lovejoy served as an Executive Officer of Fifty Associates since 1966.', 'He served as Senior Executive Officer of Meredith & Grew Inc., from 1972 to 1995 and its President from 1978 to 1988 and Chairman from 1988 to March 1995.', 'He served as the President of the New England Aquarium.', 'His professional organization affiliations include the Counselors of Real Estate, the Greater Boston Building Owners & Managers Association and the Greater Boston Real Estate Board, each of which organizations he served as President, the International Council of Shopping Centers, the Massachusetts Association of Realtors, the National Association of Realtors and the Institute of Real Estate Management.', 'He serves as the Trustee of MGI Liquidations Trust.', 'He serves as a Trustee of the New England Aquarium.', 'He has been Trustee Emeritus of Massachusetts Board of Trustees at The Nature Conservancy.', 'He served as a Trustee of MGI Properties (also known as MGI Properties Liquidations Trust) since September 2000 and Cabot Industrial Trust, General Partner of Cabot Industrial Properties LP since March 1999.', 'He served as a Director of Scudder Global High Income Fund.', 'He served as a Director of DWS Global High Income Fund, Inc. from 1992 to July 18, 2001.', 'Mr. Lovejoy is a member of Cabot Industrial of Northeastern University and was Chairman of the Massachusetts Advisory Committee of the Nature Conservancy.']","He served as a Trustee of MGI Properties (also known as MGI Properties Liquidations Trust) since September 2000 and Cabot Industrial Trust, General Partner of Cabot Industrial Properties LP since March 1999.","Mr. George M. Lovejoy, Jr. has been the President of Fifty Associates since 1994. Mr. Lovejoy served as an Executive Officer of Fifty Associates since 1966. He served as Senior Executive Officer of Meredith & Grew Inc., from 1972 to 1995 and its President from 1978 to 1988 and Chairman from 1988 to March 1995. He served as the President of the New England Aquarium. His professional organization affiliations include the Counselors of Real Estate, the Greater Boston Building Owners & Managers Association and the Greater Boston Real Estate Board, each of which organizations he served as President, the International Council of Shopping Centers, the Massachusetts Association of Realtors, the National Association of Realtors and the Institute of Real Estate Management. He serves as the Trustee of MGI Liquidations Trust. He serves as a Trustee of the New England Aquarium. He has been Trustee Emeritus of Massachusetts Board of Trustees at The Nature Conservancy. He served as a Director of Scudder Global High Income Fund. He served as a Director of DWS Global High Income Fund, Inc. from 1992 to July 18, 2001. Mr. Lovejoy is a member of Cabot Industrial of Northeastern University and was Chairman of the Massachusetts Advisory Committee of the Nature Conservancy.",1,2
